index_raw	name	type	typecode	address	pname	cityname	adname	timestamp	longtitude	latitude
0	????????	????;??;??	170200	????	29	29	???	9/15/2019 19:36	116.549987	40.20616772
1	?????????	????;??;??	170300	??????100?	29	29	???	8/1/2019 17:50	117.0136317	40.13406805
2	????????????	????;??;??	170200	?????????100?	29	29	???	8/21/2019 14:32	116.0465158	39.59801232
3	????????????	????;??;??	170200	????????273?	29	29	???	8/23/2019 14:07	116.2398402	39.92910815
4	???????????	????;??;??	170300	???????	29	29	???	8/16/2019 18:41	117.0512999	40.11811777
5	???????????	????;??;??	170200	????????????50?	29	29	???	8/30/2019 10:37	117.0110182	40.17224645
6	?????????????	????;??;??	170300	???	29	29	???	9/14/2019 16:50	115.9118606	40.38993205
9	?????	????;??????;??????	70000	????39???	29	29	???	8/19/2019 10:55	115.5881253	39.64265958
14	???????????????	????;??????;????????	170400	??????????????????	29	29	???	8/20/2019 12:36	117.0513149	40.11810275
15	????????????	????;????;??????	60703	?????????????	29	29	???	8/28/2019 13:05	116.2752979	39.87673696
143	???????	????;????;????	170000	?????100?	21	21	???	8/28/2019 12:24	117.3587555	39.90772086
144	?????	????;????;????	170000	?????200?	21	21	???	8/3/2019 10:54	117.2693762	39.80431173
145	?????	????;????;????	170000	?????100?	21	21	???	8/2/2019 12:20	116.8800503	39.29356338
146	???????????	????;??;??|????;??;??	170300|170200	?????200?	21	21	???	8/3/2019 10:10	116.9014564	39.0376992
147	???????????????	????;??;??	170300	???????50?	21	21	???	9/11/2019 11:28	116.9782998	39.62262428
148	????????	????;??;??	170300	???(???????)	21	21	???	9/3/2019 14:50	117.7965986	39.35384319
149	????????????	????;??;??	170200	?????????	21	21	???	9/9/2019 15:34	117.0781908	38.76133006
151	???????????	?????????;?????????;?????????	130000	?????100?	21	21	???	8/2/2019 14:06	117.2081155	39.874989
154	???????	????;??;??	170300	?????????????50?	21	21	???	9/7/2019 16:32	116.9282984	38.90351335
157	?????????????	????;??;??	170200	???????????????	21	21	???	9/17/2019 12:49	117.0186168	39.10313996
166	?????(???????)	????;????;??????	60703	?????????????100?	21	21	???	8/29/2019 23:25	117.1326591	39.03794765
184	?????	????;??;??	170300	??????????????	27	???	???	8/1/2019 17:15	116.8445517	39.94204135
185	??????	????;??;??	170300	????50?	27	????	????	8/19/2019 21:19	119.738388	40.01569784
186	????????	????;??;??	170300	?????50?	27	????	???	8/28/2019 18:49	115.8476208	40.87076125
187	????????	????;????;????	170000	G45?????50?	27	???	???	7/17/2019 7:00	115.0954131	36.28717582
188	??????????	????;????;??????	60703	????????????150?	27	????	???	9/15/2019 22:10	114.3720409	38.05506597
189	????????	????;????;????	170000	[]	27	???	???	9/3/2019 10:28	115.9670374	38.37023419
190	?????????	????;????;????	170000	?????	27	????	???	9/5/2019 0:35	114.8430954	38.42909373
191	?????	????;??;??	170300	?????	27	????	???	8/27/2019 17:15	114.3197025	38.10435637
192	?????	????;??;??	170300	???222???	27	???	???????	8/13/2019 15:58	116.9573113	39.92590414
193	?????	????;????;????	170000	G95????????	27	???	???	8/26/2019 12:31	116.037036	39.394658
194	??????????????	????;??;??	170300	?????	27	???	???????	8/30/2019 12:52	116.9876724	39.87648732
195	?????????	????;??;??	170300	????215???????200?	27	???	???	8/3/2019 17:07	115.2188241	36.47489762
196	?????	????;????;????	170000	???????730??????50?	27	???	???	8/15/2019 14:08	116.6758793	39.06853132
197	?????	????;????;????	170000	????	27	???	???	8/23/2019 13:03	114.6054046	37.45933115
198	???????	????;??;??	170300	??????????B??	27	????	???	9/17/2019 15:18	114.5945396	37.61847919
199	????????	????;??;??	170300	[]	27	???	???	9/17/2019 10:08	115.4615667	38.44549579
200	???????	????;????;????	170000	076???200?	27	???	??	8/20/2019 11:49	115.1384415	36.7327319
201	???????	????;????;????	170000	??????	27	???	???	8/14/2019 15:30	116.0078398	39.45062299
202	???????	????;??;??	170300	???	27	???	??????????	8/6/2019 12:16	118.0202349	41.90722701
203	?????	????;????;????	170000	[]	27	????	???	8/15/2019 11:45	114.2923236	38.18411689
204	?????	????;????;????	170000	263???150?	27	???	???	9/5/2019 16:02	118.315737	39.43429117
205	?????	????;????;????	170000	[]	27	????	???	8/1/2019 15:32	114.8026816	38.20305834
206	?????	????;????;????	170000	027???200?	27	???	???	8/15/2019 19:59	117.7680081	39.86541082
207	????????????	????;??;??	170300	????200?	27	???	??	8/27/2019 12:04	115.7901774	38.56903752
208	?????????	????;??;??	170300	????	27	????	???	8/27/2019 17:16	119.5785954	39.98916089
209	?????????????????	????;??;??	170300	????50?	27	???	???	8/15/2019 21:36	118.3986547	40.2017646
210	????????????????	????;??;??	170300	????50?	27	???	???	9/16/2019 18:49	118.808672	40.14021754
211	???????????????	????;????;????	170000	???	27	???	???	8/24/2019 16:04	118.2199731	40.94892736
212	???????	????;????;??????	60703	????????????50?	27	???	???	8/18/2019 9:32	115.8522232	37.68004
213	????????	????;????;????	170000	??????????	27	???	???	9/6/2019 18:55	115.7397452	38.22135819
214	????????????????	????;????;????	170000	[]	27	???	???	8/15/2019 12:59	117.546078	38.11497093
215	?????????????	????;????;????	170000	308???50?	27	????	???	9/2/2019 15:08	114.4624003	40.4702011
216	?????	????;????;????	170000	??????50?	27	???	????	8/16/2019 14:05	116.0366265	39.35101357
217	?????????????	????;??????;??????	70000	????50?	27	???	???	8/25/2019 12:28	118.4004368	40.09543548
218	????????????	????;??;??	170200	????????	27	???	???	8/28/2019 23:40	117.0592648	39.71422251
219	?????	????;????;????	170000	730???200?	27	???	???	8/3/2019 16:26	116.6759233	39.0590301
220	???????????	????;??;??	170300	334???50?	27	???	??	8/30/2019 17:44	116.1188606	38.97972461
221	?????????	????;??;??	170300	?????	27	???	??	8/15/2019 13:48	115.7902025	38.56863866
223	????????	????;????;????	170000	??????????	27	???	???	8/20/2019 14:36	115.810475	38.40835715
224	????????????	????;??;??	170200	L16???50?	27	????	???	9/4/2019 14:24	119.2794993	39.81990235
225	???????????	????;??;??	170200	??????	27	???	???	9/3/2019 14:14	115.1096518	38.84568146
226	???????????????	????;??;??	170200	109??	27	????	???	8/19/2019 15:59	114.1774931	40.10958211
227	????	????;????;????	170000	???	27	???	???	9/16/2019 17:37	117.478999	38.30596476
228	??????????	????;????;????	170000	????200?	27	???	???	8/14/2019 15:01	114.6218857	36.33733418
229	?????	????;??;??	170200	355???50?	27	???	???	8/2/2019 16:36	115.7111477	39.13047767
230	????????????????	????;??;??	170200	355??	27	???	???	8/2/2019 10:26	115.7111567	39.13034674
231	???????????	????;??;??	170300	362???616??????50?	27	???	???	8/2/2019 17:08	118.3491383	39.5807674
232	??????????(?????)	????;????;????	170000	106???100?	27	???	??	8/8/2019 12:16	116.1249936	38.12772397
233	??????????	????;??????;??????	60000	???36?-11	27	???	???	8/31/2019 1:28	114.5242289	37.06587072
234	?????	????;??????;??????	60000	????828???	27	???	???	9/1/2019 9:49	116.8165095	39.94242037
235	??????????	????;??;??	170300	???????	27	????	???	9/11/2019 13:10	114.7023828	41.17616148
236	???????????	????;????;??????	60703	????101?	27	???	???	9/2/2019 17:59	116.5352539	37.88724564
237	????	????;??????;??????	70000	????	27	???	???	8/15/2019 13:03	117.7277079	39.80685724
238	???????????	????;??????;??????	60000	????193??	27	???	???	8/26/2019 10:53	114.4971293	37.04762996
