k,random,NDS,TDS,DaTDS
1,0.029666666666666664,0.1,0.13333333333333333,0.16666666666666666
2,0.06699999999999999,0.26666666666666666,0.3,0.26666666666666666
3,0.10333333333333332,0.4,0.4,0.43333333333333335
4,0.13066666666666665,0.43333333333333335,0.5,0.5
5,0.15766666666666665,0.5333333333333333,0.5333333333333333,0.6
6,0.2,0.6,0.6333333333333333,0.6333333333333333
7,0.2356666666666667,0.6333333333333333,0.6666666666666666,0.6666666666666666
8,0.265,0.7,0.6666666666666666,0.8
9,0.2876666666666666,0.7333333333333333,0.8,0.8333333333333334
10,0.331,0.8333333333333334,0.8,0.9
11,0.36700000000000005,0.8333333333333334,0.8,0.9
12,0.39966666666666667,0.8333333333333334,0.8666666666666667,0.9333333333333333
13,0.42899999999999994,0.8333333333333334,0.9,0.9333333333333333
14,0.4776666666666667,0.8333333333333334,0.9333333333333333,0.9333333333333333
15,0.49599999999999994,0.9333333333333333,0.9666666666666667,0.9333333333333333
16,0.5353333333333333,0.9666666666666667,0.9666666666666667,0.9666666666666667
17,0.5566666666666666,0.9666666666666667,0.9666666666666667,0.9666666666666667
18,0.5880000000000001,1.0,0.9666666666666667,0.9666666666666667
19,0.6213333333333334,1.0,1.0,1.0
20,0.6780000000000002,1.0,1.0,1.0
21,0.7049999999999998,1.0,1.0,1.0
22,0.7166666666666666,1.0,1.0,1.0
23,0.7646666666666668,1.0,1.0,1.0
24,0.8046666666666665,1.0,1.0,1.0
25,0.8413333333333335,1.0,1.0,1.0
26,0.8680000000000001,1.0,1.0,1.0
27,0.9050000000000001,1.0,1.0,1.0
28,0.929,1.0,1.0,1.0
29,0.9703333333333335,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0
