code,province,rank,from,dist
20,辽宁,0,0,0.0
6,河南,10,20,406.4156956761133
7,江苏,9,20,400.5150043614721
10,浙江,10,6,236.09390180083298
8,安徽,1,7,52.47544305483723
0,黑龙江,8,20,163.94723289804358
25,内蒙古,12,6,271.3135425973587
19,吉林,2,20,85.08389531130176
21,天津,8,6,181.14466802940314
2,山西,3,6,111.28453377938995
13,云南,19,7,549.292983201821
12,湖南,8,8,210.6438031620314
14,贵州,16,7,424.09979836811186
26,重庆,7,14,145.86140236219777
9,湖北,5,12,115.14089808372523
15,福建,8,10,186.7967745508498
11,江西,4,12,100.0586139491791
30,四川,1,26,20.193385373187386
28,上海,1,10,64.58521334974276
29,北京,3,2,144.90845652511766
24,陕西,5,2,191.4849649378421
22,青海,6,26,263.10759048761304
17,广东,5,11,177.0786506552328
23,甘肃,3,22,127.65234824464608
3,宁夏,4,22,250.40156187799062
16,广西,3,17,147.0592263696319
5,山东,2,6,92.6144426954899
27,河北,1,2,75.73598963260922
1,新疆,3,26,713.8538952918501
4,西藏,2,26,480.684070268772
18,海南,1,17,269.2032512748871
