code,province,rank,from,dist
20,辽宁,0,0,0.0
6,河南,10,20,1144.482732495675
7,江苏,8,20,903.2221235882162
10,浙江,18,6,1045.9332211035558
8,安徽,6,10,398.3118235131487
0,黑龙江,15,20,755.9157608796548
25,内蒙古,15,20,757.4091324394589
19,吉林,2,20,260.3166908737317
21,天津,10,25,533.954879561701
2,山西,8,25,484.98653831125176
13,云南,16,6,1167.343404918114
12,湖南,10,8,695.1567582276115
14,贵州,15,6,1179.9987075267925
26,重庆,9,12,367.86925577821717
9,湖北,5,8,279.360391438907
15,福建,7,10,350.17053915449554
11,江西,5,8,284.83634925035426
30,四川,2,13,109.00088279478774
28,上海,4,8,285.45116634874205
29,北京,1,21,108.89249152082499
24,陕西,3,26,447.3390127146534
22,青海,6,24,708.043196679934
17,广东,5,15,658.4294232332192
23,甘肃,2,24,232.6629566117178
3,宁夏,3,22,435.7148974227344
16,广西,3,17,458.1396299376788
5,山东,2,7,238.13333211234126
27,河北,1,29,75.88150654079243
1,新疆,3,22,1424.366094872213
4,西藏,2,30,1004.6665680452537
18,海南,1,16,311.39113416379763
