code,province,rank,from,dist
20,辽宁,0,0,0.0
6,河南,9,20,1382.3
7,江苏,12,20,1911.1
10,浙江,14,6,979.6
8,安徽,2,7,180.2
0,黑龙江,9,20,592.0
25,内蒙古,13,6,885.7
19,吉林,2,0,282.5
21,天津,12,6,733.7
2,山西,6,6,431.9
13,云南,19,8,2021.0
12,湖南,9,8,709.3
14,贵州,15,8,1503.6
26,重庆,6,14,395.0
9,湖北,4,12,332.8
15,福建,9,10,629.0
11,江西,4,12,343.6
30,四川,1,26,65.0
28,上海,1,10,174.9
29,北京,4,2,515.2
24,陕西,3,6,484.8
22,青海,7,24,874.3
17,广东,6,12,703.4
23,甘肃,2,22,248.4
3,宁夏,5,22,678.1
16,广西,3,14,553.0
5,山东,2,6,315.0
27,河北,1,2,223.0
1,新疆,3,23,1925.0
4,西藏,2,22,1918.0
18,海南,1,17,591.5
